Var1,Var2,Var3,frequency
115.5,415.8,-115.5,82.01295943
115.5,415.8,-115.5,89.30426155
115.5,415.8,-115.5,97.24379155
115.5,415.8,-115.5,105.8891797
115.5,415.8,-115.5,115.3031797
115.5,415.8,-115.5,125.5541245
115.5,415.8,-115.5,136.716422
115.5,415.8,-115.5,148.8710954
115.5,415.8,-115.5,162.1063712
115.5,415.8,-115.5,176.5183194
115.5,415.8,-115.5,192.2115514
115.5,415.8,-115.5,209.2999787
115.5,415.8,-115.5,227.9076401
115.5,415.8,-115.5,248.169602
115.5,415.8,-115.5,270.2329388
115.5,415.8,-115.5,294.2578004
115.5,415.8,-115.5,320.4185748
115.5,415.8,-115.5,348.9051536
115.5,415.8,-115.5,379.9243109
115.5,415.8,-115.5,413.7012036
115.5,415.8,-115.5,450.4810063
115.5,415.8,-115.5,490.5306904
115.5,415.8,-115.5,534.1409624
115.5,415.8,-115.5,581.6283737
115.5,415.8,-115.5,633.3376185
115.5,415.8,-115.5,689.6440359
115.5,415.8,-115.5,750.9563341
115.5,415.8,-115.5,817.7195572
115.5,415.8,-115.5,890.4183159
115.5,415.8,-115.5,969.5803045
115.5,415.8,-115.5,1055.780132
115.5,415.8,-115.5,1149.643492
115.5,415.8,-115.5,1251.851705
115.5,415.8,-115.5,1363.146664
115.5,415.8,-115.5,1484.33622
115.5,415.8,-115.5,1616.300045
115.5,415.8,-115.5,1759.996018
115.5,415.8,-115.5,1916.467176
115.5,415.8,-115.5,2086.849287
115.5,415.8,-115.5,2272.379095
115.5,415.8,-115.5,2474.403295
115.5,415.8,-115.5,2694.388309
115.5,415.8,-115.5,2933.930929
115.5,415.8,-115.5,3194.769911
115.5,415.8,-115.5,3478.798591
115.5,415.8,-115.5,3788.078634
115.5,415.8,-115.5,4124.854992
115.5,415.8,-115.5,4491.572205
115.5,415.8,-115.5,4890.892144
101.2,-546.48,-151.8,2.718281828
101.2,-546.48,-151.8,2.959948685
101.2,-546.48,-151.8,3.223100756
101.2,-546.48,-151.8,3.509648169
101.2,-546.48,-151.8,3.821670871
101.2,-546.48,-151.8,4.161433722
101.2,-546.48,-151.8,4.531402941
101.2,-546.48,-151.8,4.934264002
101.2,-546.48,-151.8,5.372941131
101.2,-546.48,-151.8,5.85061853
101.2,-546.48,-151.8,6.370763487
101.2,-546.48,-151.8,6.937151552
101.2,-546.48,-151.8,7.553893933
101.2,-546.48,-151.8,8.225467343
101.2,-546.48,-151.8,8.956746496
101.2,-546.48,-151.8,9.753039487
101.2,-546.48,-151.8,10.62012632
101.2,-546.48,-151.8,11.56430088
101.2,-546.48,-151.8,12.59241659
